id, name,act,debut_date,disband_date,sales_circle, views, circle_streaming_score, billboard global, music_show_awards, yearly_awards, paks
1,100%,group,2012-09-18,2021,103148,17260269,99,0,0,0,0
2,24K+,group,2012-09-06,,0,40419274,0,0,0,0,0
3,2AM,group,2008-06-21,,257939,53778162,13092,0,10,7,0
4,2NE1,group,2009-05-06,2017-01,690868,1795832416,22391,0,43,24,2
5,2PM,group,2008-07-04,,969382,558147812,7971,0,41,11,0
6,2YOON,group,2013-01-16,2016-06,5895,2986241,588,0,0,0,0
7,4Minute,group,2009-06-15,2016-06,205088,831129171,10889,0,23,7,0
8,F-ve dolls,group,2011-01-20,2014-11,2384,8223140,148,0,0,0,0
9,9Muses,group,2010-08-12,2019-02,55301,115643567,2998,0,0,0,0
10,9Muses A,group,2016-08-03,2019-02,8484,4522733,102,0,0,0,0
11,After School,group,2009-01-15,2019,138457,147021172,4952,0,3,1,0
12,Agust D,solo,2016-08-16,,1358066,1024954152,832,6,0,1,0
13,Ailee,solo,2012-02-08,,41838,515565435,22016,0,11,17,1
14,Akmu,group,2014-04-06,,95174,695897096,55798,8,24,12,2
15,Amber,solo,2015-09-17,,15099,77576765,353,0,0,0,0
16,AOA,group,2012-07-30,2020-07,223475,897701221,10303,0,10,3,0
17,AOA CREAM,group,2016-02-12,2021,0,43455469,258,0,0,0,0
18,Apink,group,2011-04-19,,829855,1018698517,15907,0,52,14,0
19,April,group,2015-08-24,2022-01,77381,102503920,332,0,0,0,0
20,ASTRO,group,2016-02-23,,1844780,597830764,272,0,13,2,0
22,B.A.P,group,2012-01-27,2019-02,911467,304233041,2789,0,8,4,0
23,B1A4,group,2011-04-23,,907028,238765961,5301,0,17,8,0
24,Baek A Yeon,solo,2012-09-09,,3913,91268038,7504,0,4,2,0
25,Baekhyun,solo,2019-07-10,,4923674,487963957,5435,0,8,7,0
27,BESTie,group,2013-07-11,2018-10,8581,56911141,205,0,0,1,0
28,BIGBANG,group,2006-08-19,2023,3514210,4745923189,39678,4,84,46,7
29,BIGBANG + 2NE1,group,,,0,111530420,0,0,0,0,0
30,Bigstar,group,2012-07-12,2019-07,3664,6889588,63,0,0,0,0
31,Blackpink,group,2016-08-08,,6305622,21638732345,38817,175,70,26,3
32,Block B,group,2011-04-13,,418220,359313720,9505,0,8,1,0
33,BoA,solo,2000-08-25,,2248419,369144159,5501,0,6,13,0
34,Boyfriend,group,2011-05-26,,261986,181958321,866,0,2,2,0
35,Boys Republic,group,2013-06-03,2018-10,10361,13609566,0,0,0,0,0
36,BB GIRLS,group,2011-04-08,,154368,275354439,10929,0,10,3,1
37,Brown Eyed Girls,group,2006-03-02,,252881,201901775,6007,0,12,9,0
38,BTOB,group,2012-03-21,,1189542,667457068,13631,0,17,7,0
39,BTOB Blue,group,2016-09-18,,0,13439846,205,0,0,0,0
40,BTS,group,2013-06-13,,40547172,29681881068,100634,299,164,155,4
41,Chen,solo,2019-04-01,,563664,206310270,4854,0,4,0,0
42,Chen + Heize,group,,,0,5473341,0,0,0,0,0
43,Choa,solo,,,0,3746838,0,0,0,0,0
44,CL,solo,2013-05-28,,12959,370377826,616,0,1,1,0
45,CLC,group,2015-03-19,2022-05,65774,432395927,0,0,2,0,0
46,CNBlue,group,2010-01-14,,1343981,302746059,11138,0,35,25,0
47,Crayon Pop,group,2012-07-17,2017-03,36845,191621775,2430,0,2,3,0
48,Cross Gene,group,2012-07-08,,47524,30457276,0,0,0,0,0
49,Crush,solo,2014-04-02,,36267,522273716,21551,1,1,5,1
50,D.O. + Yoo Young-jin,group,,,0,8353974,0,0,0,0,0
51,Dal★Shabet,group,2011-01-03,2017-12,38643,92191965,4291,0,0,1,0
52,Dalmatian,group,2010-08-31,2013-03,9374,9114198,216,0,0,0,0
53,Davichi,group,2008-01-28,,88630,571372848,39639,0,20,12,1
54,Day6,group,2015-09-07,,1204222,734547012,35517,0,8,6,1
55,Dia,group,2015-07-14,2022-09,109693,58716016,93,0,1,0,0
56,Dreamcatcher,group,2017-01-13,,1228151,736757995,0,0,4,0,0
57,Epik High,group,2003-10-23,,453705,214287166,16707,0,10,19,1
58,Eric Nam,solo,2013-01-23,,21414,94789598,1219,0,0,0,0
59,Eric Nam + Somi,group,2017-03-09,,0,6217592,0,0,0,0,0
60,EXID,group,2012-02-16,,147710,817801166,8763,0,22,2,0
61,EXO,group,2012-04-08,,13666727,4436524485,32248,4,114,74,0
62,EXO-CBX,group,2016-10-30,,663704,353331303,1390,0,1,1,0
64,EXO-M,group,2012-04-07,2015-08,450198,93191232,372,0,0,0,0
65,f(x),group,2009-08-24,2016-12,548777,567408412,11608,0,33,10,0
66,Fiestar,group,2012-08-31,2018-05,10267,74116410,599,0,0,0,0
67,FTISLAND,group,2007-06-07,,707898,247377496,5381,0,17,10,0
68,G-DRAGON,solo,2009-08-18,,1997650,1304666271,30678,4,41,29,3
69,G.na,solo,2010-07-14,2016,26128,71117720,7516,0,7,1,0
70,Gain,solo,2010-10-08,,38463,84495065,8306,0,3,3,0
71,Gary,solo,2014-01-15,,18947,69943863,6077,0,1,0,0
72,Gary + Jung-in,group,2014-08-31,,0,5903714,1498,0,0,0,0
73,G-DRAGON + TAEYANG,group,2014-11-20,,17346,510758476,1696,0,2,0,0
74,G-DRAGON + T.O.P,group,2010-12-15,,0,231069068,4135,0,4,1,0
75,Geeks + Soyou,group,2012-10-31,,0,6562316,2009,0,0,0,0
76,GFriend,group,2015-01-15,2021-05,999591,1179486398,16964,0,71,13,1
77,Girl\'s Day,group,2010-07-07,2019-01,127226,563405911,10776,0,12,4,0
78,Girls\' Generation,group,2007-08-05,2017-09,3630065,3335759911,21790,3,94,45,0
79,Girls\' Generation TTS,group,2012-04-30,2017-10,303114,157935467,3908,0,17,3,0
80,GOT7,group,2014-01-16,,4576219,3248967706,2161,0,33,17,0
81,Gugudan,group,2016-06-28,2020-12,102606,60966464,153,0,0,0,0
82,Goo Hara,solo,2015-07-14,2019,6280,11163645,16,0,0,0,0
83,Hellovenus,group,2012-05-08,2019-04,25673,109094151,1017,0,0,0,0
84,Henry,solo,2013-06-07,,123541,247854378,1164,0,0,0,0
85,HI SUHYUN,group,2014-11-18,2014,0,42536212,1279,0,1,0,0
86,Highlight,group,2009-10-15,,1726697,892021898,24743,0,67,28,0
87,History,group,2013-04-26,2017,57123,43646994,44,0,0,0,0
88,Hyolyn,solo,2013-11-26,,16370,289946788,7552,0,4,0,0
89,Hyolyn + Bumkey + Jooyoung,group,2015-12-17,,0,2978723,0,0,0,0,0
90,Hyolyn + Jooyoung,group,2014-11-19,,0,44843634,0,0,1,0,0
91,Hyolyn + Zico + Paloalto,group,2015-08-25,,0,2698430,0,0,0,0,0
92,Hyukoh,group,2014-09-18,,35565,141956903,6859,0,1,11,0
93,Hyuna,solo,2011-07-04,,104201,1179385808,6970,0,5,5,0
94,I.O.I,group,2016-05-16,2017-01,276039,299828768,5720,0,9,3,1
95,iKON,group,2015-09-15,,855547,1981389232,13931,0,27,13,1
96,Infinite,group,2010-06-09,,1831730,445072486,9834,0,43,17,0
97,Infinite H,group,2013-01-10,2017,136593,20602676,2229,0,5,0,0
98,IU,solo,2008-09-18,,1845029,2542498345,152415,9,100,60,21
99,IU + Fiestar,group,2012-07-25,2012,0,4710743,0,0,0,0,0
100,IU + HIGH4,group,2014-04-07,2014,0,142146182,4037,0,1,0,0
101,IU + Yoon Hyun-sang,group,2014-10-30,,0,9508446,0,0,0,0,0
102,J-Min,solo,2014-07-15,,723,11863436,0,0,0,0,0
103,Jenyer,solo,2016-11-02,,0,3480132,0,0,0,0,0
104,Jessica,solo,2016-05-17,,215557,80232968,274,0,0,0,0
105,Jimin,solo,2016-03-03,,762034,54503998,665,2,0,0,0
106,Jamie,solo,2015-04-05,,0,52859263,212,0,0,0,0
107,JJ Project,group,2012-05-19,,130309,61216649,219,0,0,0,0
108,JJCC,group,2014-03-13,2017,0,9781367,0,0,0,0,0
109,Jonghyun,solo,2015-01-08,2017-12,539414,115778430,4678,0,12,2,0
110,Juniel,solo,2012-06-07,,16187,41362660,3700,0,0,1,0
111,JYJ,group,2011-09-28,2021,787583,44640345,1861,0,0,0,0
112,JYPark,solo,1994-09-01,,653167,247872132,8368,0,1,8,0
113,KARD,group,2016-12-13,,99861,776952776,25,0,0,0,0
114,K.will,solo,2007-03-06,,80899,451039133,22912,0,13,10,0
115,K.will + Baekhyun,group,2016-05-12,,0,3354177,0,0,0,0,0
116,K.will + Davichi,group,2016-01-05,,0,0,0,0,0,0,0
117,Kara,group,2007-03-29,,896926,603721634,8402,0,28,9,0
119,KIM SEJEONG,solo,2019-12-02,,45329,137649434,173,0,2,0,0
120,Kisum,solo,2013-12-27,,1402,32828514,1159,0,0,0,0
121,Kisum + Homme,group,2015-09-01,,0,815353,0,0,0,0,0
122,Kisum + Hwasa,group,2015-10-28,,0,5154901,0,0,0,0,0
123,Kyuhyun,solo,2014-11-13,,441008,102668697,10101,0,5,1,0
124,Park Kyung,solo,2015-09-21,,13002,95949124,2316,0,1,0,0
125,Laboum,group,2014-08-27,2023-10,57695,54702913,1644,0,1,0,0
126,Ladies\' code,group,2013-03-07,2020,16137,55716220,2922,0,0,0,0
127,Lay,solo,2016-10-07,,295452,187329975,0,0,0,0,0
128,Lee Hi,solo,2012-10-29,,39649,678593538,14323,0,12,4,0
129,Lee Hyori,solo,2003-08-13,,369006,115803659,10278,0,19,7,1
130,Lee Seung Gi,solo,2004-06-25,,372689,55795892,11370,0,10,14,0
131,LeeSSang,group,2002-06-27,2017-04,191947,131063118,9824,0,2,4,2
132,Lim Chang Jung,solo,1995-04-01,,2638221,195552170,20581,0,8,6,2
133,Lim Kim,solo,2013-06-17,,6420,60850915,3447,0,0,4,0
134,Lovelyz,group,2014-11-17,2021,390425,182566065,3475,0,4,0,0
135,Luna,solo,2016-05-30,,18099,22913504,44,0,0,0,0
136,Lyn,solo,2000-12-13,,126887,154662645,9593,0,0,1,0
137,Mad Clown,solo,2008-10-22,,3219,112337169,6606,0,4,1,0
138,Mamamoo,group,2014-06-18,,1260698,2480301003,25106,0,42,16,1
139,Max,solo,2020-04-06,,147874,43072687,581,0,0,0,0
140,MBLAQ,group,2009-10-14,2015-06,328432,92106545,5185,0,3,1,0
141,Minah,solo,2015-03-15,,0,17272850,0,0,1,0,0
142,Miss A,group,2010-07-01,2017-12,111748,511169387,10816,0,16,12,2
143,MONSTA X,group,2014-05-14,,4701570,1373029827,217,0,23,22,0
145,Moon Hyuna,solo,2017-03-21,,0,238789,0,0,0,0,0
146,MYNAME,group,2011-10-27,,84703,41885240,100,0,0,0,0
147,Nasty Nasty,group,2014-09-02,2014,0,12270143,35,0,0,0,0
148,NCT 127,group,2016-07-06,,14088822,1998904446,3272,5,40,16,0
149,NCT DREAM,group,2016-08-24,,21816561,1739703233,6801,6,49,23,0
150,NCT U,group,2016-04-08,,32158,1520851526,598,0,9,0,0
151,NU\'EST,group,2012-03-15,2022-03,1176812,448747467,1419,0,17,5,0
152,Oh My Girl,group,2015-04-21,,612392,550969064,16496,0,21,5,0
153,Orange Caramel,group,2010-06-18,2018-05,48030,190481319,6120,0,0,0,0
154,Park Bom,solo,2009-10-28,,22547,98263040,3121,0,0,1,1
155,Park BoRam,solo,2014-08-06,2024-04,880,96474133,5152,0,0,0,0
156,Pristin,group,2017-03-21,2019-05,70576,84099656,202,0,0,2,0
157,PRODUCE 101,group,,2016,0,34013768,2949,0,0,0,0
158,PSY,solo,2001-02-12,,517196,9773506802,24732,10,52,28,2
159,PSY + Hyuna,group,2012-08-14,2012,0,849869673,0,0,0,0,0
160,PSY + Snoop Dogg,group,2014-06-08,2014,0,371304449,0,0,0,0,0
161,R3hab X f(Amber+Luna),group,2016-05-05,2016,0,4389208,0,0,0,0,0
162,Rainbow,group,2009-11-12,2016-11,53188,84342503,3934,0,0,0,0
163,Rainbow blaxx,group,2014-01-19,2016,0,18429595,0,0,0,0,0
164,Rainbow Pixie,group,2012-01-11,2016-10,0,2782069,0,0,0,0,0
165,Red Velvet,group,2014-08-01,,5263236,3514012808,30303,7,85,19,1
166,Ryeowook,solo,2016-01-27,,93791,17002663,0,0,0,0,0
167,San E,solo,2010-09-13,,4219,65929440,10187,0,0,5,0
168,Secret,group,2009-10-13,2018-02,91866,161940562,8585,0,5,7,0
169,Seohyun,solo,2017-01-16,,33369,22593033,75,0,1,0,0
170,SEUNGRI,solo,2011-01-20,2019,166781,108614837,3428,0,12,0,0
171,Seventeen,group,2015-05-26,,45235235,4626012548,15429,29,81,61,0
172,SHINee,group,2008-05-25,,3256350,1373079641,12875,0,69,34,0
173,Shinhwa,group,1998-03-24,,3486620,72728991,2557,0,23,21,0
174,Sistar,group,2010-03-06,2017-06,137519,978651803,20317,0,48,25,2
175,Sistar19,group,2011-05-02,2017-06,13964,211923375,3302,0,7,0,1
177,Sonamoo,group,2014-12-29,2021,16861,27132109,0,0,0,0,0
178,Soyou,solo,2017-09-07,,4222,21621572,7397,0,1,0,0
179,Soyou + Brother Su,group,2015-10-13,,0,23810876,757,0,0,0,0
180,Soyou + Junggigo,group,2014-02-07,2024,0,127530779,3199,0,11,7,0
181,Soyou + 10cm,group,2015-09-22,2015,0,12828357,1166,0,1,0,0
182,Soyou + Baekhyun,group,2017-02-13,,0,16397004,930,0,0,0,0
183,SPEED,group,2013-01-15,2016,6901,35504571,271,0,0,0,0
184,SPICA,group,2012-02-07,2017-02,6723,42029235,2038,0,0,0,0
185,SS501,group,2005-06-08,2010-06,398819,231396256,603,0,12,5,0
186,Stellar,group,2011-08-28,2018-02,8727,90694870,206,0,0,0,0
187,Dalsooobin,solo,2016-05-12,,0,3074120,0,0,0,0,0
188,Sunny Hill,group,2007-09-20,,19423,32753065,5173,0,0,0,0
189,Super Junior,group,2005-11-06,,6731813,2058464369,4291,0,57,50,0
190,Super Junior-D&E,group,2011-12-16,,1260150,127050842,192,0,2,0,0
191,Super Junior-M,group,2008-04-08,,181492,176888385,86,0,0,0,0
192,Suzy + Baekhyun,group,,,0,92442513,2033,0,5,2,0
193,T-ara,group,2009-07-29,2018-01,642756,965134691,17952,0,25,7,0
194,T-ara + Davichi,group,2011-12-22,2013,0,113881448,1026,0,0,0,0
195,T-ara N4,group,2013-04-28,2017,28360,23092199,553,0,0,0,0
196,T.O.P,solo,2010-06-17,,18658,94658682,1413,0,0,0,0
197,Tablo,solo,2011-11-01,,11736,33407006,1870,0,0,1,0
198,Taemin,solo,2014-08-15,,1393943,619563553,1919,0,10,7,0
199,TAEYANG,solo,2008-05-22,,351478,1339546431,8368,7,19,11,0
200,Taeyeon,solo,2015-10-06,,1513517,1331900587,45622,0,35,21,1
202,Teen Top,group,2010-07-09,,760792,211805407,5193,0,9,1,0
203,The Ark,group,2015-04-09,2016,0,8013332,0,0,0,0,0
204,Tiffany,solo,2016-05-10,,74724,97741503,255,0,2,0,0
205,Trouble Maker,group,2011-11-30,2014-01,66974,256363527,3105,0,12,2,0
206,Turbo,group,1995-09-06,2001,2077925,26941771,1879,0,1,0,0
207,TVXQ!,group,2003-12-26,,3392154,665833771,2865,0,26,30,0
208,Twice,group,2015-10-20,,16600172,13585183074,39272,122,123,45,4
209,Two X,group,2012-08-20,2017,3054,5449011,56,0,0,0,0
210,U-Kiss,group,2008-08-28,,145061,173202324,2378,0,1,0,0
211,U-Know Yunho,solo,2015-07-08,,599173,73106055,0,0,1,0,0
212,Uniq,group,2014-10-20,,7582,30868359,0,0,1,0,0
213,UP10TION,group,2015-09-11,,741796,55477045,0,0,0,0,0
214,Urban Zakapa,group,2009-07-29,,19083,167610407,17493,0,0,1,1
215,VIXX,group,2012-05-24,,1342848,304783591,3861,0,30,7,0
216,Wendy + Eric Nam,group,2016-03-04,2016,0,13808034,0,0,0,0,0
217,Winner,group,2014-08-12,,1032476,792919232,17375,0,24,5,0
218,WJSN,group,2016-02-25,,850460,250653364,284,0,9,1,0
219,Wonder Girls,group,2007-02-13,2017-02,309310,603477964,10868,0,32,17,1
220,Yesung,solo,2016-04-18,,567124,49318159,663,0,0,0,0
221,Yezi,solo,2016-01-27,,616,17523682,83,0,0,0,0
222,Yoona + 10cm,group,2016-03-11,2016,0,13088488,0,0,0,0,0
223,Yuri + Seohyun,group,2016-08-18,2016,0,11331497,0,0,0,0,0
224,ZE:A,group,2010-01-07,2017-04,89140,51613219,1974,0,0,0,0
225,Zico,solo,2014-11-07,,102228,676149319,31126,0,15,18,1
226,Zion.T,solo,2013-04-08,,14671,217538838,15747,0,1,6,0
227,Hyolyn + Changmo,group,2017-04-14,2017,0,36010106,1644,0,0,0,0
228,Minzy,solo,2017-04-16,,3347,17273833,57,0,0,0,0
229,Berry Good,group,2014-05-21,2021-05,4254,19110972,0,0,0,0,0
230,Nell,group,2001-01-19,,83384,54984815,2876,0,1,4,0
231,Heize,solo,2014-01-17,,25241,445508778,30323,0,3,11,2
232,CocoSori,group,2016-01-05,2019,1294,2320419,0,0,0,0,0
233,Mixx,group,2016-05-02,2017,0,1498761,0,0,0,0,0
234,Tahiti,group,2012-06-23,2018-06,3169,8925404,43,0,0,0,0
235,NC.A,solo,2013-08-13,,1873,20155488,190,0,0,0,0
236,Royal Pirates,group,2013-08-25,,4318,5192359,0,0,0,0,0
237,Gummy,solo,2003-02-03,,317368,258976755,16562,0,2,6,0
239,MelodyDay,group,2014-02-24,2018-12,3901,13920328,246,0,0,0,0
240,Song Jieun,solo,2011-03-03,,15719,111177780,2043,0,0,0,0
241,15&,group,2012-10-05,2018,2378,17941038,3065,0,0,0,0
242,Baek Yerin,solo,2015-11-29,,100446,182991832,9684,0,0,6,0
243,RaNia,group,2011-04-06,2020-06,2582,34812323,393,0,0,0,0
244,BP Rania,group,2016-12-29,2017,0,1357347,0,0,0,0,0
245,Romeo,group,2015-05-07,,26926,5179717,0,0,0,0,0
246,Snuper,group,2015-11-16,2023-05,105275,6173152,0,0,0,0,0
247,Sungyeol,solo,,,0,28759,0,0,0,0,0
248,AOA Black,group,2013-07-26,2016,0,21429436,0,0,0,0,0
249,JeA,solo,2013-01-04,,3787,3731337,1034,0,0,0,0
250,Triple H,group,2017-05-01,2018,16762,76489297,20,0,0,0,0
251,Ahn Sohee,solo,,2013,0,0,0,0,0,0,0
253,Hyo,solo,2016-12-01,,13064,170047099,0,0,0,0,0
254,NC.A + Sugarbowl,group,2017-06-30,,0,459960,0,0,0,0,0
255,Jeong Eunji,solo,2016-04-18,,135384,125445340,7119,0,4,2,0
256,Jessi,solo,2005-12-01,,3017,994629581,5519,4,0,3,0
257,Busker Busker,group,2012-04-01,2013-12,344002,44473845,28478,0,10,10,3
258,Lee Sun Hee,solo,1984-12-30,,3162361,46508052,2847,0,0,0,0
259,Rain,solo,2002-05-13,,1244351,139205995,8502,0,11,11,0
260,Kim Sungkyu,solo,2012-11-19,,362100,50058900,1479,0,4,1,0
261,XIA,solo,2010-05-26,,590835,88632573,6754,0,0,1,0
262,Younha,solo,2004-10-20,,380790,181834962,21427,0,6,9,1
264,RM,solo,2015-03-17,,1449538,540174563,107,2,0,2,0
265,Wanna One,group,2017-08-07,2018-12,3687191,589668657,16668,0,49,21,0
266,Sechs kies,group,1997-04-15,2021,3594688,46644592,4965,0,4,2,0
267,Momoland,group,2016-11-09,,66422,1911901679,4329,0,11,4,0
268,Sunmi,solo,2013-08-20,,52221,800984991,11995,0,16,4,1
269,VIXX LR,group,2015-08-17,2023-04,111199,20861734,228,0,1,0,0
270,SF9,group,2016-10-05,,1801596,327345672,0,0,6,0,0
271,Weki Meki,group,2017-08-08,2024-08,180076,137920721,6,0,0,0,0
272,Rainz,group,2017-10-12,2018,50659,4310857,0,0,0,0,0
273,Solar,solo,2015-10-22,,227329,120243154,258,0,2,0,0
274,JBJ,group,2017-10-18,2018-04,322048,53851607,406,0,1,0,0
275,The Rose,group,2017-08-03,,112567,230903411,0,0,0,0,0
276,Jeon Soyeon,solo,2017-11-05,,0,53699869,69,0,2,2,0
277,Samuel,solo,2017-08-02,,76101,50666378,13,0,0,0,0
278,Soyou + Sung Si-kyung,group,2017-11-16,,0,2704361,0,0,0,0,0
279,Fromis 9,group,2018-01-24,,1037067,451606639,5856,0,16,0,0
280,PENTAGON,group,2016-10-10,,650777,767233883,624,0,2,0,0
281,Suzy,solo,2017-01-23,,57522,122959203,5451,0,2,0,0
282,Laysha,group,2016-07-19,,0,22629078,0,0,0,0,0
283,The Boyz,group,2017-12-31,,6876627,848089658,1022,0,31,7,0
284,Holland,solo,2018-01-22,,0,28371737,0,0,0,0,0
285,Hong Jinyoung,solo,2009-06-19,,7809,104883203,2317,0,0,9,0
286,Honey Popcorn,group,2018-03-21,2021-01,0,6823263,0,0,0,0,0
287,Hwasa,solo,2019-02-13,,117885,1129258720,11551,7,11,3,1
288,Stray Kids,group,2018-03-26,,33351389,7957894980,1006,37,45,23,0
289,WheeIn,solo,2018-04-17,,255027,106342191,3309,0,1,0,0
290,MeloMance,group,2015-03-10,,1360,214097558,28653,0,0,6,0
291,Bolbbalgan4,group,2016-04-22,,71096,771981310,46731,0,9,12,3
292,I-dle,group,2018-05-02,,7245392,4077346636,36739,42,70,26,4
293,VAV,group,2015-10-31,2024-02,40696,222304289,0,0,0,0,0
295,UNI.T,group,2018-05-18,2018-10,25741,10081016,0,0,0,0,0
296,Moonbyul,solo,2018-05-24,,555213,139133616,26,0,0,0,0
297,Pristin V,group,2018-05-28,2019-05,18301,48745006,0,0,0,0,0
299,Soyou + Henry,group,2016-10-13,,0,2501979,0,0,0,0,0
300,Soyou + Giriboy,group,2015-01-14,,0,2946994,1120,0,0,0,0
301,Hyolyn + Kisum,group,2017-06-29,,0,5388343,0,0,0,0,0
302,NU\'EST W,group,2017-10-10,2022-03,771263,72180733,2751,0,4,6,0
303,Yubin,solo,2018-06-05,,0,21340933,0,0,0,0,0
304,Minseo,solo,2018-03-06,,0,31532910,1018,0,0,0,0
305,Gugudan Oguogu,group,2017-08-11,2018-10,0,2978864,0,0,0,0,0
306,Yuju,solo,2018-06-29,,49243,59125308,919,0,0,1,0
307,Gyeongree,solo,2018-07-05,,0,6811666,0,0,0,0,0
309,Gugudan Semina,group,2018-07-10,2020-12,12312,3869272,0,0,0,0,0
310,Bolbbalgan4 + 20 years of age,group,2017-06-14,,0,23676076,2795,0,0,0,0
311,20 years of age,solo,2013-01-02,,0,3769187,1468,0,0,0,0
312,Chung ha,solo,2017-06-06,,134122,865673361,12682,0,14,11,0
313,KNK,group,2016-02-29,,94180,25409538,0,0,0,0,0
314,Madtown,group,2014-10-06,2017-11,11489,16032682,0,0,0,0,0
315,Victon,group,2016-11-09,,750171,189140735,23,0,3,0,0
316,LOONA,group,2018-08-19,2023-05,698360,420221655,8,0,4,1,0
317,Stella Jang,solo,2014-09-19,,1462,78921374,0,0,0,0,0
318,Drug Restaurant,group,2015-05-26,2019,19992,7074906,0,0,0,0,0
319,Golden Child,group,2017-08-20,,795759,185924501,12,0,4,0,0
320,MXM,group,2017-09-06,,142821,12659919,84,0,0,0,0
321,Fly to the Sky,group,1999-11-21,,669133,12683679,3758,0,4,6,0
322,B.I.G,group,2014-07-09,,795,15642681,0,0,0,0,0
323,SKYE,group,2017-10-26,,53108,7931972,0,0,0,0,0
324,Taeyeon + MeloMance,group,2018-08-10,,0,5081163,0,0,0,0,0
325,Imfact,group,2016-01-27,2022-01,10304,12314385,0,0,0,0,0
326,Double S 301,group,2016-02-15,,34251,11062678,0,0,1,0,0
327,Oh My Girl Banhana,group,2018-04-02,,16058,18531594,0,0,0,0,0
328,UNB,group,2018-04-07,2019,105485,16346076,0,0,0,0,0
329,Girls\' Generation Oh!GG,group,2018-09-05,2023-08,43191,172437648,511,0,0,0,0
330,GWSN,group,2018-09-05,2023-01,0,106837881,0,0,0,0,0
331,MFBTY,group,2015-12-23,,2482,24753276,1658,0,0,0,0
332,A.C.E,group,2017-05-23,,263092,130566378,0,0,0,0,0
333,Yuri,solo,2018-10-04,,17290,11626497,0,0,0,0,0
335,Seulgi + SinB + Chung ha + Soyeon,group,,,0,69480238,138,0,0,0,0
336,Lyn + Leo,group,2014-08-04,,0,6198953,0,0,0,0,0
337,IZ*ONE,group,2018-10-29,2021-04,2101206,1078281873,5674,0,26,7,0
338,Marmello,group,2017-05-24,,0,678271,0,0,0,0,0
339,Purfles,group,2014-10-21,2016,0,3198306,0,0,0,0,0
340,Playback,group,2015-06-25,2018,375,19208971,0,0,0,0,0
341,N.Flying,group,2015-05-20,,443911,165273209,3470,0,3,1,0
342,Brown Eyed Soul,group,2003-09-17,,533662,51010454,8380,0,0,1,0
343,SeeYa,group,2006-02-24,2011-01,236366,4148124,2395,0,1,6,0
344,Shin Seunghun,solo,1990-11-01,,10267812,8121920,1673,0,0,10,0
345,Kim Bo Kyung,solo,2011-06-27,,6100,13993696,4574,0,0,0,0
346,Baek Jiyoung,solo,1999-07-10,,732009,83888347,18308,0,8,12,0
347,Park Hyoshin,solo,1999-11-30,,1736528,182748067,15552,0,4,4,0
348,Navi,solo,2008-04-04,,3775,7560107,4758,0,0,0,0
349,SG Wannabe,group,2004-01-20,,1923903,80625950,10998,0,13,20,0
350,Kan Mi Youn,solo,2006-09-15,,3148,10296537,1534,0,0,0,0
351,Kim Hyung Jun,solo,2011-03-08,,20318,1592518,231,0,0,0,0
352,Wheesung,solo,2002-04-04,2025-03,632912,41478345,6793,0,3,11,0
353,Yangpa,solo,1996-11-01,,2050009,1861230,1883,0,3,2,0
354,Yoonhan,solo,,,3233,71015,0,0,0,0,0
355,Lena Park,solo,1998-02-01,,1308989,5347331,5300,0,0,4,0
356,Monday Kiz,group,2005-10-06,,9102,37073835,17543,0,0,0,0
357,Heo Youngsaeng,solo,2011-05-12,,75080,13014981,590,0,0,0,0
358,Lim Jeonghee,solo,2005-06-10,,64503,3574517,3790,0,0,2,0
359,Supreme Team,group,2009-07-14,2013-07,19995,3408375,4925,0,0,4,0
360,Gavy NJ,group,2005-11-11,,473,13645525,4863,0,0,1,0
361,Key,solo,2018-11-06,,846882,113002590,579,0,4,0,0
362,Wendy,solo,2021-04-05,,396075,88796323,57,0,0,1,0
363,Kim Hyun Joong,solo,2011-06-07,,374404,158220444,1233,0,5,1,0
364,4Men,group,1998-02-01,,20044,69088329,18160,0,0,2,0
365,Kim Bumsoo,solo,1999-03-02,,257227,55587887,10253,0,0,1,1
366,Jennie,solo,2018-11-12,,956044,2538424776,12591,89,10,10,0
367,Eru,solo,2005-09-05,,123875,2601344,1203,0,3,2,0
368,Hyo + 3Lau,group,,2018,0,7300841,0,0,0,0,0
369,Sung Sikyung,solo,2001-04-19,,1304343,96530132,22860,0,1,6,0
370,Huh Gak,solo,2010-11-04,,19039,120436461,26219,0,2,6,0
371,Se7en,solo,2003-03-08,,607670,57408497,3025,0,7,5,0
372,Park Jiyoon,solo,1997-02-18,,1424499,13971856,1410,0,0,2,0
373,EXO-K,group,2012-04-07,,750139,545040522,1983,0,10,0,0
374,G.O.D,group,1999-01-13,,5168193,11055617,4276,0,0,7,0
375,S.E.S.,group,1997-11-01,2002-11,3563059,35957120,0,0,0,3,0
376,Infinite F,group,2014-11-30,,0,5612215,0,0,0,0,0
377,Jung In,solo,2010-03-11,,4175,4761729,2666,0,0,0,0
378,Naul,solo,2005-01-08,,70212,137184563,10393,0,3,3,2
379,Mino,solo,2018-11-26,,284839,174619345,3047,0,6,1,0
380,Nature,group,2018-08-03,2024-04,0,76135635,0,0,0,0,0
381,Eddy Kim,solo,2014-04-11,,3418,87034466,5638,0,0,1,0
383,JQT,group,2009-10-12,2012-02,1924,710982,151,0,0,0,0
384,Dynamic Duo,group,2004-05-17,,29578,37082475,10002,0,6,9,0
385,IZ,group,2017-08-31,,18334,5299036,0,0,0,0,0
