id, name,act,debut_date,disband_date,sales_circle, views, circle_streaming_score, billboard global, music_show_awards, yearly_awards, paks
8329,Skipjack,group,2018-03-02,,0,12569,0,0,0,0,0
8330,Nam Yousik,solo,,,0,0,0,0,0,0,0
8331,Kang Santeo,solo,,,0,0,0,0,0,0,0
8332,Kim Minsu,solo,,,0,0,0,0,0,0,0
8333,Nam Gunwook,solo,,,0,0,0,0,0,0,0
8334,Fat Hamster,solo,2018-12-31,,0,0,0,0,0,0,0
8335,Yeram,solo,2017-05-15,,0,0,0,0,0,0,0
8336,Yeram + Fat Hamster,group,,,0,320,0,0,0,0,0
8337,Lee Yeryoung,solo,2024-04-17,,0,72279,0,0,0,0,0
8338,Romantic Factory Collab,group,,,0,96864,0,0,0,0,0
8339,Kim Changwoon,solo,2024-10-03,,0,73105,0,0,0,0,0
8340,KickFlip,group,2025-01-20,,1094448,106402476,0,0,2,1,0
8341,Kyehoon,solo,,,0,0,0,0,0,0,0
8342,Amaru,solo,,,0,0,0,0,0,0,0
8343,Donghwa,solo,,,0,0,0,0,0,0,0
8344,Juwang,solo,,,0,0,0,0,0,0,0
8345,Minje,solo,,,0,0,0,0,0,0,0
8346,Keiju,solo,,,0,0,0,0,0,0,0
8347,Donghyeon,solo,,,0,0,0,0,0,0,0
8348,Outsider + VOK,group,,,0,0,0,0,0,0,0
8349,Kim Wansun + Seulgi,group,,,0,291592,0,0,0,0,0
8350,Dynamic Duo + Gummy,group,,,0,2235691,0,0,0,0,0
8351,Hwon,solo,,2025,0,0,0,0,0,0,0
8352,UNC,group,2021-09-21,2023,0,2551,0,0,0,0,0
8353,XLOV,group,2025-01-07,,219740,47701977,0,0,0,0,0
8354,Rui,solo,,,0,0,0,0,0,0,0
8355,Hyun,solo,,,0,0,0,0,0,0,0
8356,Haru,solo,,,0,0,0,0,0,0,0
8357,Park Jinjoo + Ailee + Mijoo + Haewon,group,,,0,1345277,0,0,0,0,0
8358,Slushii + HYO,group,,,0,161444,0,0,0,0,0
8359,Jung In + Ra.D,group,,,0,12655,0,0,0,0,0
8360,Joy-D,group,1999-07-19,2008,0,2382131,0,0,0,0,0
8361,Terri,solo,,2008,0,0,0,0,0,0,0
8362,Jino,solo,,2008,0,0,0,0,0,0,0
8363,COE,solo,2017-07-08,,0,20054,0,0,0,0,0
8364,Typhoon,group,2006-05-24,,0,298388,0,0,0,0,0
8365,Solbi,solo,,,797,0,0,0,0,0,0
8366,Woojae,solo,,,0,0,0,0,0,0,0
8367,Jihwan,solo,,,0,0,0,0,0,0,0
8368,Hana,solo,,2010,0,0,0,0,0,0,0
8369,Layone + OLNL,group,,,0,12440,0,0,0,0,0
8370,Gabby Onme,group,2020-10-23,,0,1981636,0,0,0,0,0
8371,Adrian,solo,,,0,0,0,0,0,0,0
8372,A-Prince,group,2012-11-10,2015,2622,2096034,0,0,0,0,0
8373,Sungwon,solo,,2015,0,0,0,0,0,0,0
8374,Taken,group,2011-11-03,2012,0,24700,0,0,0,0,0
8375,Taehyuk,solo,,2012,0,0,0,0,0,0,0
