Name,Debut,Company,Active
miss A,2010-07-01,JYP,No
Mixx,2016-05-02,Chiko,No
Momoland,2016-11-09,Double Kick,Yes
myB,2015-08-25,Maroo,No
Nature,2018-08-03,n.CH,Yes
NeonPunch,2018-06-27,A100,No
NewJeans,2022-07-22,ADOR,Yes
NMIXX,2022-02-22,JYP,Yes
O21,2016-06-21,Houxiu,No
Oh My Girl,2015-04-21,WM,Yes
OhBliss,2016-10-17,JT Corea,Yes
P.O.P,2017-07-26,DWM,No
Pink Fantasy,2018-10-28,My Doll,Yes
PIXY,2021-02-24,ALLART,Yes
Playback,2015-06-25,Coridel,No
Precious,2020-09-23,Umi,Yes
PRIMROSE,2023-03-13,AO,Yes
PRISMA,2020-10-31,UnionWave,Yes
Pristin,2017-03-21,Pledis,No
PRITTI-G,2021-08-31,Enterrobang,Yes
Pungdeng-E,2013-12-11,DOMA,Hiatus
Purple Kiss,2021-03-15,RBW,Yes
PURPLEBECK,2019-06-24,Majesty,Yes
Queenz Eye,2022-10-24,Big Mountain,Yes
Rainbow,2009-11-12,DSP,No
Rania,2011-04-06,DR,No
Red Velvet,2014-08-01,SM,Yes
REDSQUARE,2020-05-19,About,Yes
Rocket Punch,2019-08-07,Woollim,Yes
Rockit Girl,2019-05-30,Rolling,Yes
Rose Finger,2018-10-03,YC:Bros,No
Rubber Soul,2015-02-10,Happy Tribe,No
Rumble-G,2021-07-14,Winnerzone,Yes
S.E.S,1997-11-01,SM,No
S.I.S,2017-08-25,Double X,Yes
Saturday,2018-07-18,SD,Yes
SECRET,2009-10-13,TS,No
SECRET NUMBER,2020-05-19,Vine,Yes
Sha Sha,2018-02-27,Major Ent,No
SISTAR,2010-03-06,Starship,No
SKYLE,2021-08-04,Good Luck,Yes
Solia,2021-08-17,Space,No
Sonamoo,2014-12-29,TS,No
SPICA,2012-02-07,CJ E&M,No
STAYC,2020-11-12,Hi-Up,Yes
Stellar,2011-08-28,Pascal,No
Sunny Hill,2007-09-20,Nega,No
T-ara,2009-07-29,MBK,Hiatus
Tahiti,2012-06-23,J-line,No
The Grace,2005-04-29,SM,No
Tiny-G,2012-08-23,GNG,No
TRACER,2022-04-03,Gleamedia,Yes
TRI.BE,2021-02-17,TR - Mellow,Yes
tripleS,2023-02-13,MODHAUS,Yes
TWICE,2015-10-20,JYP,Yes
Two X,2012-08-20,J. Tune,No
Uni.T,2018-05-18,Unit Culture,No
Unicorn,2015-09-03,Cartoon Blue,No
VIVIZ,2022-02-09,Big Planet Made,Yes
Wable,2016-02-17,Kiwi,Yes
Wanna.B,2014-11-17,Zenith,No
Wassup,2013-08-07,Mafia,No
We Girls,2018-08-31,Afternoon,Yes
We;Na,2022-09-05,Shine E&M,Yes
Weeekly,2020-07-30,Play M,Yes
Weki Meki,2017-08-08,Fantagio,Yes
WJSN,2016-02-25,Starship,Yes
Wonder Girls,2007-02-13,JYP,No
woo!ah!,2020-05-15,NV,Yes
X:IN,2023-04-11,Escrow,Yes
XUM,2020-09-22,A100,No
Yellow Bee,2017-11-23,Addiction,No
YOUNG POSSE,2023-10-18,DSP,Yes
